Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Barbados,BRB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,,,,8.2,,,,,2.2,,,,,1.5,,,
Botswana,BWA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,,,,,,33.3,,,,,,,,,28.2,,,,,,,17.2,,,,,,14.5,,,,,
Central African Republic,CAF,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.1,,,,,,,,,,,64.4,,,,,65.9,,,,,,,,,,,,
Canada,CAN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,2.2,,,,1,,,,,,0.5,,,,,,0.2,,,,0.2,,,0.2,,,0.5,0.5,,0.2,,,,0.2,,,0.2,,,0.2,,,0.5,,,,0.2,,,
Central Europe and the Baltics,CEB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.5,,,,,,,,0,,0,,,,0,0,0.1,0,0,0,0,0,0,0,0,0,,,
Channel Islands,CHI,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,7.9,,4.6,,4.9,,3.4,,3.5,,4.3,,,4,,,1.5,,,1.3,,0.6,,0.4,,0.3,,0.3,,,
China,CHN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.3,,,56.7,,,41.7,,,40.3,,,31.7,,,18.5,,,14.9,,11.2,7.9,6.5,1.9,1.4,0.7,0.5,,,,
Cote d'Ivoire,CIV,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,3.5,7.4,11.9,,,,23.7,,,21.6,,,27,,,,24.4,,,,,,30.4,,,,,,,29.8,,,,,
Cameroon,CMR,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2,,,,,26,,,,,,31.8,,,,,,,26,,,,,,
"Congo, Dem. Rep.",COD,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.3,,,,,,,,77.2,,,,,,,,
"Congo, Rep.",COG,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1,,,,,,38.2,,,,,,,,,
Colombia,COL,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,16.7,,,20.4,16.8,19.9,14.5,12.2,11.1,9.9,,,10.6,9.1,7.9,6.4,6.3,5.8,5.2,4.7,4.7,4,4.2,,
Comoros,COM,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,19.1,,,,,,
Cabo Verde,CPV,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,,,,,,8.4,,,,,,,,3.4,,,,,
Costa Rica,CRI,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,25.1,,,,,13.5,,,12.3,10.2,11.8,9.7,8.1,6.8,7,8.1,6.6,5.1,6.6,6.7,4.9,4.6,4.5,4.4,3.2,3.2,1.8,2.3,2.4,1.6,1.7,1.7,1.6,1.5,1.5,1.3,1.1,1.5,,
Caribbean small states,CSS,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0,,,
Czech Republic,CZE,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,0,,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,,,
Germany,DEU,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.2,0.2,,,0,,0,0,0,0,0,0,0,0,0.2,0,0,0,,0,,0,0,,,,
Djibouti,DJI,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,,,,,,,,,,18.2,22.3,,,,17,,,
Dominica,DMA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,,0,,,,,0,,,0.3,0.3,0.3,0.1,0,0.1,0.5,0.1,0,0,0.3,0.2,0.2,0.3,0.1,,,
Dominican Republic,DOM,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,13.4,,,5.3,,,,4.9,5.2,,,5.5,3.9,5.6,6.7,8.5,5.7,4.4,4.4,3.7,3.2,2.5,2.9,2.6,2.2,2.1,1.8,1.6,0.7,0.4,,
Algeria,DZA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,5.6,,,,,,,,,,,,,,,,0.4,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,80.2,78,74.8,69.7,65.7,62.8,58.8,53.3,63.4,60.9,58.9,56.1,53.2,49.8,44.7,40.4,40.4,41.7,37.9,34.8,32.7,29.1,25.8,22.4,18.3,17.9,15.7,14.8,12.9,10.7,8.1,6.8,3.2,2.6,2.1,1.7,1.4,1.2,,
Europe & Central Asia (excluding high income),ECA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.7,4.7,5.2,6.8,6.7,7,5.9,5.8,7.7,7.3,6.6,5.7,5.8,4.8,4.7,4,3.3,2.7,2.5,2.4,2,1.9,1.6,1.8,1.5,1.3,1.3,1.1,,
Ecuador,ECU,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,,,21.9,28.4,,,14.5,15.1,11.9,8.1,8.5,7.5,7.2,5.6,4.7,4.5,3.2,2.6,3.5,3.6,3.2,3.3,,
"Egypt, Arab Rep.",EGY,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,5.6,,,,2.4,,,,,5.2,,,,4.7,,2.2,,1.5,,,1.6,,3.8,,,
Euro area,EMU,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.2,,,,,0.5,,,,,1.2,,,,,0.5,,,0.8,0.8,0.8,0.8,0.4,0.5,0.8,0.7,1.1,0.9,1.2,0.8,0.9,1.2,0.7,,,
Estonia,EST,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,1,0.8,0.7,0.4,0.4,0.6,0.7,1,0.7,0.8,0.7,0.6,0.5,0.3,,,
Ethiopia,ETH,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.3,,,,63.4,,,,,39.2,,,,,,35.2,,,,,32.6,,,,,
European Union,EUU,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,50.6,49.8,47.4,46.2,44.5,43.4,42.6,42,40.1,38,36,35.7,34.4,,36.8,37.1,,,
Finland,FIN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,0,,,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0,0.1,,,
Fiji,FJI,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,1.6,,,,,0.5,,,,,,,
France,FRA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,1,,,,,,1.5,,,,,1,,,,,0,,,,,,0,,,0.2,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0.1,0.1,0,,,
Faroe Islands,FRO,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,15.4,,,,,,,
Gabon,GAB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,3.4,,,
United Kingdom,GBR,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,0.2,,,,,0.2,,,,,0.2,,,,,,,0.7,,,,,0.2,,,0.2,1,,,,0.2,,,,,0.4,0.5,0.2,0.3,0.3,0.2,0.1,0.4,0.2,0.2,0.2,0.1,0.2,,,,
Georgia,GEO,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,15.9,14.5,18.5,19.2,19,10.3,10.4,9.9,10.7,10.3,11.6,10.2,10.1,12,11.1,8.5,6.4,4.9,3.7,3.8,5,4.5,,
Ghana,GHA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,41.6,,,49.2,,,,,,,35.1,,,,,,,24.1,,,,,,,11.6,,,,13,,,,
Gibraltar,GIB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8,,,49.8,,,,,,,,63,,,,,60.3,,,,,36.1,,,,,,,,
"Gambia, The",GMB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8,,,,,46.1,,,,,,,25.4,,,,,10.3,,,,,
Guinea-Bissau,GNB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,,66.6,,,,,,,,,56.6,,,,,,,,68.4,,,,,,,,,,
Equatorial Guinea,GNQ,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,0.5,,,0.5,0.7,0.3,0.6,0.5,0.3,0.6,1,1.2,1.5,1,1.5,1.4,1.1,0.9,,,
Grenada,GRD,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,,,36.3,,,,,,,,,13.5,,9.3,,,,,,11.2,,,,,,,,8.8,,,,,,
Guam,GUM,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,,11.7,,,,,,,,,,,,,,,,,,,,,,
High income,HIC,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.8,0.7,0.7,0.7,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.6,0.6,0.6,,
"Hong Kong SAR, China",HKG,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,45,34.1,29.2,24.3,27,28.2,31.4,21.8,26.6,26.8,,22,23.9,28.5,27.7,27.1,23,17.6,16.9,14.2,15.6,17.4,20.1,17.7,16.4,16.6,18.4,17.6,16.9,,
Heavily indebted poor countries (HIPC),HPC,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.2,0.7,0.8,0.7,1,0.6,0.6,0.5,,,
Haiti,HTI,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,,,,,,,,
